name,startdate,dataTakeID,fileVersion,id,clouds,usable
FR-Fon,2021-06-18 10:56:00,20210618105609,1,PRS_L2D_STD_20210618105609_20210618105614_0001,many,0
FR-Fon,2021-08-15 10:56:00,20210815105637,1,PRS_L2D_STD_20210815105637_20210815105642_0001,haze,2
FR-Fon,2021-03-11 10:50:00,20210311105009,1,PRS_L2D_STD_20210311105009_20210311105014_0001,some,1
FR-Fon,2021-03-29 10:59:00,20210329105948,1,PRS_L2D_STD_20210329105948_20210329105952_0001,no,1
FR-Fon,2021-09-07 10:53:00,20210907105327,1,PRS_L2D_STD_20210907105327_20210907105331_0001,no,1
FR-Fon,2021-11-22 11:03:00,20211122110338,1,PRS_L2D_STD_20211122110338_20211122110343_0001,many,2
FR-Fon,2021-09-25 11:03:00,20210925110325,1,PRS_L2D_STD_20210925110325_20210925110329_0001,haze,0
IT-Lsn,2021-02-13 10:04:00,20210213100428,1,PRS_L2D_STD_20210213100428_20210213100433_0001,no,1
IT-SR2,2019-11-14 10:27:00,20191114102719,1,PRS_L2D_STD_20191114102719_20191114102723_0001,haze,2
IT-SR2,2021-04-25 10:27:00,20210425102709,1,PRS_L2D_STD_20210425102709_20210425102713_0001,no,1
IT-SR2,2021-07-15 10:24:00,20210715102407,1,PRS_L2D_STD_20210715102407_20210715102411_0001,closed,0
IT-SR2,2021-06-10 10:20:00,20210610102029,1,PRS_L2D_STD_20210610102029_20210610102033_0001,no,1
IT-SR2,2021-07-03 10:17:00,20210703101726,1,PRS_L2D_STD_20210703101726_20210703101731_0001,some,1
IT-SR2,2021-08-01 10:17:00,20210801101735,1,PRS_L2D_STD_20210801101735_20210801101739_0001,no,1
IT-SR2,2021-08-07 10:20:00,20210807102057,1,PRS_L2D_STD_20210807102057_20210807102101_0001,some,1
IT-SR2,2021-02-20 10:24:00,20210220102450,1,PRS_L2D_STD_20210220102450_20210220102454_0001,some,1
IT-SR2,2021-09-05 10:21:00,20210905102112,1,PRS_L2D_STD_20210905102112_20210905102116_0001,no,1
